Team_Name,Member1,Member2,Member3,Member4,Member5,Year
Meet Your Makers,MiSeRy,MaNia,PlaymatE,Maelk,DeMoN,2011
MiTH.Trust,l3nu,TnK,LaKelz,Lookball,aabBAA,2011
Natus Vincere,Artstyle,Dendi,XBOCT,Puppey,LighTofHeaveN,2011
Virus Gaming,Maldejambes,VladTepes,Sockshka,Pseudo,Ph0eniX,2011
MUFC,SilverCross,Net,Sharky,xiaoling,kYxY,2011
TYLOO,Awoke,Kabu,DD,Hao,Faith,2011
Mineski,Wootz,Julz,John,Owa,VASH,2011
Invictus Gaming,Zhou,Ferrari_430,xiao8,SanSheng,DDC,2011
EHOME,820,QQQ,X!!,LaNm,SJQ,2011
Scythe Gaming,Hyhy,Xy-,ToFu,Chawy,Roy,2011
Storm Games Clan,CraNich,lacek,Tonci,Tulex,Warlog,2011
OK.Nirvana.CN,insence,ksssssss,Banana,Yao,seaking,2011
OK.Nirvana.Int,Fear,Lacoste,ComeWithMe,Pajkatt,1437,2011
GosuGamers,KuroKy,Mirakel,Azen,Kebap,Kev-,2011
Next Evolution,syndereN,AngeL,miGGel,Ryze,eatenfish,2011
Moscow Five,NS,Dread,Ars-Art,Santa,God,2011
NORDIC-eSport,Balsam,CalculuS,Smiske,Link,Kragx,2011
Natus Vincere,XBOCT,Dendi,LighTofHeaveN,Puppey,ARS-ART,2012
Team DK,BurNIng,Super,rOtk,Zippo,LongDD,2012
Orange Esports,YamateH,Mushi,WinteR,XtiNcT,Ice,2012
Absolute Legends,blackshatan,xMusiCa,bLeeK,Godot,Snoopy,2012
EHOME,LaNm,KingJ,PCT,X!!,QQQ,2012
Invictus Gaming,Zhou,Ferrari_430,YYF,ChuaN,Faith,2012
LGD Gaming,Sylar,Xiao8,Yao,DD,DDC,2012
Counter Logic Gaming,Pajkatt,MiSeRy,Lacoste,Mirakel,Akke,2012
Evil Geniuses,Fear,BuLba,DeMoN,Maelk,UNiVeRsE,2012
Team Zenith,Hyhy,iceiceice,Loda,xFreedom,xy-,2012
Darer,Artstyle,God,Mag~,Goblak,Funn1k,2012
compLexity Gaming,TC,Jeyo,HANNAH_MONTANA,FLUFFNSTUFF,ixmike88,2012
Moscow Five,Silent,Admiration,Vigoss,PGG,Bloodangel,2012
mTw,Sockshka,syndereN,Funzii,Kebap,7ckngMad,2012
TongFu,Hao,Mu,Kabu,Awoke,SanSheng,2012
mousesports,Black^,SingSing,SexyBamboe,1437,KuroKy,2012
Invictus Gaming,Zhou,Ferrari 430,YYF,ChuaN,Faith,2013
TongFu,Hao,Mu,SanSheng,Banana,KingJ,2013
Team Liquid,Korok,TC,Bulba,FLUFFNSTUFF,ixmike88,2013
Orange Esports,Mushi,kYxY,Ohaiyo,XtiNcT,Net,2013
Alliance,Loda,s4,AdmiralBulldog,EGM,Akke,2013
Fnatic,Era,H4nn1,Trixi,BigDaddy,Fly,2013
Natus Vincere,XBOCT,Dendi,Funn1k,Puppey,KuroKy,2013
Team Zenith,iceiceice,YamateH,xy-,xFreedom,Ice,2013
Team Dignitas,Aui_2000,Sneyking,Universe,Waytosexy,Fogged,2013
Virtus.pro,Illidan,Crazy,KSi,ARS-ART,NS,2013
Team DK,BurNIng,Super,rOtK,QQQ,MMY!,2013
LGD International,Pajkatt,God,Brax,1437,MiSeRY,2013
MUFC,dabeliuteef,TooFuckingGood,Ling,FzFz,WinteR,2013
mousesports,Black^,FATA-,qojqva,syndereN,paS,2013
LGD Gaming,Sylar,Yao,xiao8,DD,ddc,2013
RattleSnake,LaNm,Luo,Icy,Kabu,Sag,2013
Alliance,Loda,s4,AdmiralBulldog,EGM,Akke,2014
Invictus Gaming,Luo,Ferrari_430,YYF,ChuaN,Faith,2014
Natus Vincere,XBOCT,Dendi,Funn1k,Puppey,KuroKy,2014
Evil Geniuses,mason,Arteezy,UNiVeRsE,zai,ppd,2014
Team Empire,Silent,Resolut1on,Mag~,VANSKOR,ALWAYSWANNAFLY,2014
Team DK,BurNIng,Mushi,iceiceice,LaNm,MMY,2014
Vici Gaming,Sylar,Super,rOtk,Fenrir,fy,2014
Newbee,Hao,Mu,xiao8,Banana,SanSheng,2014
Cloud9,EternaLEnVy,SingSing,bOne7,Aui_2000,pieliedie,2014
Titan,kYxY,YamateH,Ohaiyo,Net,XtiNcT,2014
Fnatic,Era,H4nn1,Trixi,BigDaddy,Fly,2014
Na'Vi North America,Sneyking,Korok,Brax,Fogged,1437,2014
Arrow Gaming,LaNcE,ddz,JoHnNy,MoZuN,xiangzai,2014
LGD Gaming,Rabbit,Yao,Lin,DD,DDC,2014
mousesports,Pajkatt,FATA,MSS,MiSeRy,paS,2014
Team Liquid,TC,qojqva,DeMoN,waytosexy,BuLba,2014
MVP Phoenix,March,QO,Forev,Reisen,Heen,2014
CIS Game,Black^,inflame,June,Ayo,demons,2014
Virtus.pro,Illidan,God,ARS-ART,NS,JotM,2014
Vici Gaming,Hao,Super,iceiceice,fy,Fenrir,2015
Evil Geniuses,Fear,SumaiL,UNiVeRsE,Aui_2000,ppd,2015
Team Secret,Arteezy,s4,zai,KuroKy,Puppey,2015
Invictus Gaming,BurNIng,Ferrari_430,Luo,ChuaN,Faith,2015
LGD Gaming,Sylar,Maybe,Yao,xiao8,MMY!,2015
Cloud9,EternaLEnVy,FATA-,bOne7,BigDaddy,MiSeRy,2015
Team Empire,Silent,Resolut1on,yoky-,ALOHADANCE,ALWAYSWANNAFLY,2015
Virtus.pro,Illidan,God,DkPhobos,Lil,Fng,2015
Newbee,Rabbit,Mu,June,SanSheng,Banana,2015
Fnatic,kYxY,Mushi,Ohaiyo,Kecik Imba,JoHnNy,2015
compLexity Gaming,Zyzz,swindlemelonzz,MoonMeander,Zfreek,Fly,2015
Natus Vincere,XBOCT,Dendi,Funn1k,SoNNeikO,Artstyle,2015
EHOME,Zyf,Cty,rOtK,LaNm,DDC,2015
MVP HOT6ix,FoREv,MP,SunBhie,JerAx,Heen,2015
CDEC Gaming,Agressif,Shiki,Xz,Garder,Q,2015
MVP Phoenix,kphoenii,QO,March,Febby,NutZ,2015
OG,n0tail,Miracle-,MoonMeander,Cr1t-,Fly,2016
Team Liquid,MATUMBAMAN,FATA-,MinD_ContRoL,JerAx,KuroKy,2016
Newbee,Hao,Mu,kpii,ChuaN,Kaka,2016
LGD Gaming,Agressif,Maybe,xiao8,Banana,MMY!,2016
MVP Phoenix,MP,QO,Forev,Febby,DuBu,2016
Natus Vincere,Ditya Ra,Dendi,GeneRaL,SoNNeikO,Artstyle,2016
Evil Geniuses,Fear,SumaiL,UNiVeRsE,zai,ppd,2016
Wings Gaming,shadow,bLink,Faith_bian,y`,iceice,2016
Team Secret,Arteezy,EternaLEnVy,BuLba,Puppey,pieliedie,2016
TNC Pro Team,Raven,Kuku,Sam_H,eyyou,DeMoN,2016
Digital Chaos,Resolut1on,w33,Moo,Saksa,MiSeRy,2016
Vici Gaming Reborn,END,Nono,Mikasa,fy,DDC,2016
Alliance,Loda,s4,AdmiralBulldog,Akke,EGM,2016
Fnatic,Mushi,MidOne,Ohaiyo,DJ,343,2016
EHOME,iceiceice,old chicken,eLeVeN,LaNm,Fenrir,2016
Escape Gaming,Era,qojqva,KheZu,YapzOr,syndereN,2016
OG,n0tail,ana,s4,JerAx,Fly,2017
Virtus.pro,RAMZES666,No[o]ne,9pasha,Lil,Solo,2017
Evil Geniuses,Arteezy,SumaiL,UNiVeRsE,zai,Cr1t-,2017
Team Liquid,MATUMBAMAN,Miracle-,MinD_ContRoL,GH,KuroKy,2017
Invictus Gaming,BurNIng,Op,Xxs,BoBoKa,Q,2017
Newbee,Moogy,Sccc,kpii,Kaka,Faith,2017
Team Secret,MP,MidOne,KheZu,YapzOr,Puppey,2017
HellRaisers,Swiftending,Keyser,33,MiLAN,j4,2017
Team Empire,Resolut1on,fn,Ghostik,RodjER,Miposhka,2017
iG Vitality,Paparazi灬,Sakata,InJuly,super,@dogf1ghts,2017
LGD.Forever Young,Monet,Super,Inflame,Ahfu,ddc,2017
LGD Gaming,Ame,Somnus丶M,eLeVeN,Yao,Victoria,2017
TNC Pro Team,Raven,Kuku,Sam_H,Tims,1437,2017
Fnatic,Ahjit,QO,Ohaiyo,Febby,DJ,2017
Execration,Nando,CartMaN,Bimbo,RR,Kim0,2017
Cloud9,EternaLEnVy,FATA-,MSS,Aui_2000,pieliedie,2017
Digital Chaos,mason,Abed,Forev,BuLba,DuBu,2017
Infamous,Benjaz,Timado,Kingteka,Matthew,Accel,2017
Virtus.pro,RAMZES666,No[o]ne,9pasha,RodjER,Solo,2018
Team Liquid,MATUMBAMAN,Miracle-,MinD_ContRoL,GH,KuroKy,2018
PSG.LGD,Ame,Somnus丶M,Chalice,fy,xNova,2018
Team Secret,Ace,MidOne,Fata,YapzOr,Puppey,2018
Mineski,Mushi,Moon,iceiceice,Jabz,ninjaboogie,2018
Vici Gaming,Paparazi灬,Ori,eLeVeN,LaNm,Fenrir,2018
Newbee,Moogy,Sccc,kpii,Kaka,Faith,2018
VGJ.Thunder,Sylar,Freeze,Yang,Fade,ddc,2018
VGJ.Storm,YS,Resolut1on,Sneyking,MSS,SVG,2018
Evil Geniuses,rtz,SumaiL,s4,Cr1t-,Fly,2018
OpTic Gaming,Pajkatt,CCnC,33,zai,Peterpandam,2018
paiN Gaming,hFn,w33,tavo,Kingrd,Duster,2018
OG,ana,Topson,Ceb,JerAx,N0tail,2018
Winstrike Team,Silent,Iceberg,nongrata,Nofear,ALWAYSWANNAFLY,2018
Team Serenity,zhizhizhi,Zyd,XinQ,Pyw,XCJ,2018
Invictus Gaming,Agressif,Xxs,Srf,BoBoKa,Q,2018
Fnatic,EternaLEnVy,Abed,UNiVeRsE,DJ,pieliedie,2018
TNC Predator,Raven,Armel,Sam_H,Tims,Kuku,2018
Team Secret,,,,,,2019
Virtus.pro,,,,,,2019
Vici Gaming,,,,,,2019
Evil Geniuses,,,,,,2019
Team Liquid,,,,,,2019
PSG.LGD,,,,,,2019
Fnatic,,,,,,2019
Ninjas in Pyjamas,,,,,,2019
TNC Predator,,,,,,2019
OG,ana,Topson,Ceb,JerAx,N0tail,2019
Alliance,,,,,,2019
Keen Gaming,,,,,,2019
Newbee,YawaR,CCnC,Sneyking,MSS,pieliedie,2019
Infamous,K1,Chris Luck,Wisper,Scofield,Stinger,2019
Chaos Esports Club,vtFαded,MATUMBAMAN,KheZu,MiLAN,MISERY,2019
Natus Vincere,Crystallize,MagicaL,Blizzy,Zayac,SoNNeikO,2019
Royal Never Give Up,Monet,Setsu,Flyby,LaNm,ah fu,2019
Mineski,Nikobaby,Moon,kpii,ragingpotato,ninjaboogie,2019
Evil Geniuses,Arteezy,Abed,iceiceice,Cr1t-,Fly,2020
PSG.LGD,Ame,NothingToSay,Faith_bian,XinQ,y`,2020
Virtus.pro,Nightfall,gpk,DM,Save-,Kingslayer,2020
Quincy Crew,YawaR,Quinn,Lelis,MSS,SVG,2020
Invictus Gaming,flyfly,Emo,JT-,Kaka,Oli,2020
T1,23savage,Karl,Kuku,Xepher,Whitemon,2020
Vici Gaming,poyoyo,Ori,old eLeVeN,Pyw,Dy,2020
Team Secret,MATUMBAMAN,Nisha,zai,YapzOr,Puppey,2020
Team Aster,Monet,White丶Album_白学家,Xxs,Borax,LaNm,2020
Alliance,Nikobaby,LIMMP,s4,Handsken,fng,2020
beastcoast,K1,Chris Luck,Wisper,Scofield,Stinger,2020
Thunder Predator,Mnz,Leostyle-,Frank,MoOz,Mjz,2020
Team Undying,Timado,Bryle,SabeRLight-,MoonMeander,Dubu,2020
SG esports,Costabile,4dr,Tavo,Thiolicor,KJ,2020
OG,SumaiL,Topson,Ceb,Saksa,N0tail,2020
Team Spirit,Yatoro,TORONTOTOKYO,Collapse,Mira,Miposhka,2020
Elephant,Eurus,Somnus丶M,Yang,fy,Super,2020
Fnatic,Raven,ChYuan,Deth,Jabz,DJ,2020
Evil Geniuses,Arteezy,Abed,iceiceice,Cr1t-,Fly,2021
PSG.LGD,Ame,NothingToSay,Faith_bian,XinQ,y`,2021
Virtus.pro,Nightfall,gpk,DM,Save-,Kingslayer,2021
Quincy Crew,YawaR,Quinn,Lelis,MSS,SVG,2021
Invictus Gaming,flyfly,Emo,JT-,Kaka,Oli,2021
T1,23savage,Karl,Kuku,Xepher,Whitemon,2021
Vici Gaming,poyoyo,Ori,old eLeVeN,Pyw,Dy,2021
Team Secret,MATUMBAMAN,Nisha,zai,YapzOr,Puppey,2021
Team Aster,Monet,White丶Album_白学家,Xxs,Borax,LaNm,2021
Alliance,Nikobaby,LIMMP,s4,Handsken,fng,2021
beastcoast,K1,Chris Luck,Wisper,Scofield,Stinger,2021
Thunder Predator,Mnz,Leostyle-,Frank,MoOz,Mjz,2021
Team Undying,Timado,Bryle,SabeRLight-,MoonMeander,Dubu,2021
SG esports,Costabile,4dr,Tavo,Thiolicor,KJ,2021
OG,SumaiL,Topson,Ceb,Saksa,N0tail,2021
Team Spirit,Yatoro,TORONTOTOKYO,Collapse,Mira,Miposhka,2021
Elephant,Eurus,Somnus丶M,Yang,fy,Super,2021
Fnatic,Raven,ChYuan,Deth,Jabz,DJ,2021
PSG.LGD,Ame,NothingToSay,Faith_bian,XinQ,y`,2022
OG,Yuragi,bzm,ATF,Taiga,Misha,2022
Team Spirit,Yatoro,TORONTOTOKYO,Collapse,Mira,Miposhka,2022
beastcoast,K1,Chris Luck,Wisper,Gōjira,Stinger,2022
Team Aster,Monet,Ori,Xxs,BoBoKa,皮球,2022
Thunder Awaken,Pakazs,DarkMago,Sacred,Matthew,Pandaboo,2022
BOOM Esports,JaCkky,Yopaj,Fbz,TIMS,skem,2022
TSM,Timado,Bryle,SabeRLight-,MoonMeander,DuBu,2022
Tundra Esports,skiter,Nine,33,Saksa,Sneyking,2022
Gaimin Gladiators,dyrachyo,BOOM,Ace,tOfu,Seleri,2022
Evil Geniuses,Arteezy,Abed,Nightfall,Cr1t-,Fly,2022
Fnatic,Raven,Armel,Jabz,DJ,Jaunuel,2022
Soniqs,YawaR,Quinn,LESLÃO,MSS,Fata,2022
Hokori,Lumière,4nalog,Vitaly,Thiolicor,Gardick,2022
Entity,Pure,Stormstormer,Tobi,Kataomi`,Fishman,2022
BetBoom Team,Daxak,Larl,Noticed,RodjER,SoNNeikO,2022
Royal Never Give Up,Ghost,Somnus,Chalice,kaka,xNova,2022
Talon Esports,23savage,Mikoto,kpii,Q,Hyde,2022
Team Secret,Crystallis,Nisha,Resolut1on,Zayac,Puppey,2022
Team Liquid,MATUMBAMAN,miCKe,zai,Boxi,iNSaNiA,2022
